,mean_H,mean_S,mean_V,stddev_H,stddev_S,stddev_V,entropy_H,entropy_S,entropy_V,Skew_H,Skew_S,Skew_V,Kurtosis_H,Kurtosis_S,Kurtosis_V,label,Color Code,Ripeness Code,Uniformity Code
IMG_20170620_151725.jpg,103.53608777997366,146.5220903180282,183.5540236529238,3.037097717186827,28.32183780123226,35.75678100965785,2.5347388927694556,4.762022604066503,4.9213560741531435,-16.940547222815873,1.1446526397154393,-1.4172930062909355,622.4382820236019,2.8926250236529123,3.6933075070130563,,2,R,W
IMG_20170620_151735.jpg,103.68058894387248,149.39617304793077,186.4750530687091,2.9684407236099943,29.351955771340673,36.376106308143584,2.5115331045520017,4.7972651213929804,4.921102197543645,-15.672294060945548,1.0778822963086,-1.5372501177525206,596.7706290279767,2.3129123836428693,3.918158608563652,,2,R,W
IMG_20170620_151738.jpg,103.5925991201758,150.54842548183328,183.71929785590046,2.142583917093987,28.27667262237963,33.96203409177685,2.190177958111453,4.760347622346005,4.8825629949090334,-7.766646850974155,1.0390382322054503,-1.3443063747021604,487.45382279373086,2.242315120755559,3.216643091233374,,2,R,W
IMG_20170620_151835.jpg,103.85594774758238,144.90874248803553,182.964966677863,2.272516320017207,28.479433427178282,35.15503920059099,2.2479413398887615,4.768054491704928,4.910994431523118,-8.689567599774689,1.2283608069677066,-1.3003312168609502,489.59097016612907,2.772116431722905,2.999216495559585,,2,R,W
IMG_20170620_151840.jpg,103.83835004322309,144.14769879365923,184.18794386661773,2.099306589145294,28.54536936445955,34.302061881247866,2.1697603513937533,4.769995428453507,4.888379998085866,-5.245495648934945,1.199192698489841,-1.1970564607347491,384.5737543108733,2.770098371458225,2.782576754877696,,2,R,W
IMG_20170620_151852.jpg,103.61795899795342,145.06543830750363,185.18316792690612,1.9932691747544333,28.263238937637908,32.60591179877696,2.1195808442901445,4.759970130181097,4.846750862381432,-6.177241530887932,0.9446974728210235,-1.3118235683013069,486.1229620864057,2.0384701919511095,3.331864713106233,,2,R,W
IMG_20170620_151856.jpg,103.54252046912674,144.36550280038745,186.8379134997943,2.0013647860979424,28.103406540026512,31.739969879135966,2.12305332569725,4.754294427540815,4.820855766633167,-9.782107220761501,0.9923122146976561,-1.3029341338080327,620.825310164309,2.31503256164949,3.441332413488621,,2,R,W
IMG_20170620_151905.jpg,103.5848957763752,145.16535508352993,189.12849251016786,3.0575633014247017,29.017458016400848,34.48061303710143,2.5410118183036605,4.7866608191377225,4.8722117422244935,-19.516374465306814,0.9341613769361133,-1.6984819487799936,686.1901100694173,2.3415645716021514,4.994496358523943,,2,R,W
IMG_20170620_151908.jpg,103.57504169335563,145.86305473969807,185.55930245160837,2.152800813423436,28.126443347066097,33.10633986296348,2.194501835802489,4.755184997439684,4.857067774983337,-9.939694659028712,1.0647403772164938,-1.3992525037052208,587.637713429696,2.541293078047926,3.638813829051678,,2,R,W
IMG_20170620_151924.jpg,103.69997537781146,145.88332736086593,186.25936554494942,2.868387245318266,29.28057944051257,34.2083469601022,2.4779657983985706,4.7952415667321935,4.878396786866023,-17.77203617999693,1.035757248465305,-1.530591414304604,689.0047410999812,2.3150847775960353,4.300267340622102,,2,R,W
